Unique_ID,Ticker,Company Name,Exchange,Fiscal_Year,Fiscal_Quarter,Quarter_End_Date,Currency,Q_Revenue,Q_R&D,Q_SG&A,Q_Cash,Market_Cap,Is_Historical_Baseline,Reporting_Standard,USD_Converted_Flag,Source,Fetch_Date
CMP-042,VTRS,Viatris Inc.,NASDAQ,2025.0,2025Q4,31/12/2025,USD,3703.6,274.7,1030.7,1322.4,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-042,VTRS,Viatris Inc.,NASDAQ,2025.0,2025Q3,30/09/2025,USD,3759.9,250.4,886.6,975.3,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-042,VTRS,Viatris Inc.,NASDAQ,2025.0,2025Q2,30/06/2025,USD,3582.1,218.8,928.7,566.4,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-042,VTRS,Viatris Inc.,NASDAQ,2025.0,2025Q1,31/03/2025,USD,3254.3,222.0,948.1,755.0,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-043,AZN.L,Alexion Pharmaceuticals,London Stock Exchange,2026.0,2026Q1,31/03/2026,GBp,15288.0,3492.0,5061.0,7560.0,,False,GAAP,True,yfinance_fetch,13/05/2026
CMP-043,AZN.L,Alexion Pharmaceuticals,London Stock Exchange,2025.0,2025Q4,31/12/2025,GBp,15503.0,3862.0,5645.0,5711.0,,True,GAAP,True,yfinance_fetch,13/05/2026
CMP-043,AZN.L,Alexion Pharmaceuticals,London Stock Exchange,2025.0,2025Q3,30/09/2025,GBp,15191.0,3663.0,5233.0,8143.0,,True,GAAP,True,yfinance_fetch,13/05/2026
CMP-043,AZN.L,Alexion Pharmaceuticals,London Stock Exchange,2025.0,2025Q2,30/06/2025,GBp,14457.0,3548.0,5007.0,7058.0,,True,GAAP,True,yfinance_fetch,13/05/2026
CMP-043,AZN.L,Alexion Pharmaceuticals,London Stock Exchange,2025.0,2025Q1,31/03/2025,GBp,13588.0,3159.0,4627.0,5230.0,,True,GAAP,True,yfinance_fetch,13/05/2026
CMP-044,NOVN.SW,Chinook Therapeutics Inc.,EBS,2026.0,2026Q1,31/03/2026,CHF,15282.12,3096.2,3548.2,7771.01,,False,GAAP,True,yfinance_fetch,13/05/2026
CMP-044,NOVN.SW,Chinook Therapeutics Inc.,EBS,2025.0,2025Q4,31/12/2025,CHF,15661.8,3574.19,3887.2,12921.55,,True,GAAP,True,yfinance_fetch,13/05/2026
CMP-044,NOVN.SW,Chinook Therapeutics Inc.,EBS,2025.0,2025Q3,30/09/2025,CHF,16224.54,3326.72,3738.04,10798.28,,True,GAAP,True,yfinance_fetch,13/05/2026
