Unique_ID,Ticker,Company Name,Exchange,Fiscal_Year,Fiscal_Quarter,Quarter_End_Date,Currency,Q_Revenue,Q_R&D,Q_SG&A,Q_Cash,Market_Cap,Is_Historical_Baseline,Reporting_Standard,USD_Converted_Flag,Source,Fetch_Date
CMP-010,AMGN,Amgen Inc.,NASDAQ,2026.0,2026Q1,31/03/2026,USD,8618.0,1719.0,1602.0,12038.0,184.99,False,US-GAAP,False,SEC_EDGAR_AUTO,14/05/2026
CMP-010,AMGN,Amgen Inc.,NASDAQ,2025.0,2025Q4,31/12/2025,USD,9866.0,2200.0,3200.0,9129.0,177.06,True,US-GAAP,True,Browser_Gold_Standard,14/05/2026
CMP-010,AMGN,Amgen Inc.,NASDAQ,2025.0,2025Q3,30/09/2025,USD,9557.0,1900.0,1720.0,9445.0,156.61,True,US-GAAP,False,SEC_EDGAR_AUTO,14/05/2026
CMP-010,AMGN,Amgen Inc.,NASDAQ,2025.0,2025Q2,30/06/2025,USD,8664.0,1615.0,1689.0,8028.0,157.53,True,US-GAAP,False,SEC_EDGAR_AUTO,14/05/2026
CMP-010,AMGN,Amgen Inc.,NASDAQ,2025.0,2025Q1,31/03/2025,USD,8149.0,1486.0,1687.0,8810.0,154.13,True,US-GAAP,False,SEC_EDGAR_AUTO,14/05/2026
CMP-011,GILD,Kite Pharma Inc,NASDAQ,2026.0,2026Q1,31/03/2026,USD,6960.0,1101.0,1451.0,5412.0,168.2,,GAAP,False,SEC_EDGAR,11/05/2026
CMP-011,GILD,Kite Pharma Inc,NASDAQ,2025.0,2025Q4,31/12/2025,USD,7924.0,1584.0,1728.0,7564.0,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-011,GILD,Kite Pharma Inc,NASDAQ,2025.0,2025Q3,30/09/2025,USD,7769.0,1346.0,1357.0,7330.0,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-011,GILD,Kite Pharma Inc,NASDAQ,2025.0,2025Q2,30/06/2025,USD,7081.0,1491.0,1365.0,5144.0,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-011,GILD,Kite Pharma Inc,NASDAQ,2025.0,2025Q1,31/03/2025,USD,6667.0,1379.0,1258.0,7926.0,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-012,PFE,Pfizer,NYSE,2026.0,2026Q1,31/03/2026,USD,14450.0,2627.0,2961.0,1703.0,,False,GAAP,False,yfinance_fetch,13/05/2026
CMP-012,PFE,Pfizer,NYSE,2025.0,2025Q4,31/12/2025,USD,17557.0,3418.0,4162.0,1142.0,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-012,PFE,Pfizer,NYSE,2025.0,2025Q3,30/09/2025,USD,16654.0,3936.0,3186.0,1343.0,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-012,PFE,Pfizer,NYSE,2025.0,2025Q2,30/06/2025,USD,14653.0,2484.0,3415.0,1638.0,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-012,PFE,Pfizer,NYSE,2025.0,2025Q1,31/03/2025,USD,13715.0,2212.0,3031.0,1430.0,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-013,BMY,Bristol Myers Squibb,NYSE,2026.0,2026Q1,31/03/2026,USD,11489.0,2649.0,1617.0,9574.0,,False,GAAP,False,yfinance_fetch,13/05/2026
CMP-013,BMY,Bristol Myers Squibb,NYSE,2025.0,2025Q4,31/12/2025,USD,12503.0,2586.0,2181.0,10209.0,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-013,BMY,Bristol Myers Squibb,NYSE,2025.0,2025Q3,30/09/2025,USD,12222.0,2528.0,1789.0,15726.0,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-013,BMY,Bristol Myers Squibb,NYSE,2025.0,2025Q2,30/06/2025,USD,12269.0,2580.0,1713.0,12599.0,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-013,BMY,Bristol Myers Squibb,NYSE,2025.0,2025Q1,31/03/2025,USD,11201.0,2257.0,1584.0,10875.0,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-014,VRTX,Vertex Pharmaceuticals,NASDAQ,2026.0,2026Q1,31/03/2026,USD,2986.9,961.6,493.7,5492.9,,False,GAAP,False,yfinance_fetch,13/05/2026
CMP-014,VRTX,Vertex Pharmaceuticals,NASDAQ,2025.0,2025Q4,31/12/2025,USD,3190.0,1106.7,487.0,5084.8,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-014,VRTX,Vertex Pharmaceuticals,NASDAQ,2025.0,2025Q3,30/09/2025,USD,3076.4,977.7,445.1,4939.6,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-014,VRTX,Vertex Pharmaceuticals,NASDAQ,2025.0,2025Q2,30/06/2025,USD,2964.7,978.4,424.6,4972.2,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-014,VRTX,Vertex Pharmaceuticals,NASDAQ,2025.0,2025Q1,31/03/2025,USD,2770.2,979.7,396.4,4674.7,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-015,SNY,Sanofi,NASDAQ,2026.0,2026Q1,31/03/2026,USD,11244.0,1747.0,2494.0,5544.0,,False,GAAP,False,yfinance_fetch,13/05/2026
CMP-015,SNY,Sanofi,NASDAQ,2025.0,2025Q4,31/12/2025,USD,12205.0,2291.0,3445.0,7657.0,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-015,SNY,Sanofi,NASDAQ,2025.0,2025Q3,30/09/2025,USD,13170.0,1834.0,2291.0,8906.0,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-015,SNY,Sanofi,NASDAQ,2025.0,2025Q2,30/06/2025,USD,10735.0,1909.0,2630.0,15359.0,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-015,SNY,Sanofi,NASDAQ,2025.0,2025Q1,31/03/2025,USD,10606.0,1808.0,2391.0,7991.0,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-016,REGN,Regeneron Pharmaceuticals,NASDAQ,2026.0,2026Q1,31/03/2026,USD,3605.4,1543.5,647.7,2962.6,,False,GAAP,False,yfinance_fetch,13/05/2026
CMP-016,REGN,Regeneron Pharmaceuticals,NASDAQ,2025.0,2025Q4,31/12/2025,USD,3884.3,1626.1,775.0,3118.1,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-016,REGN,Regeneron Pharmaceuticals,NASDAQ,2025.0,2025Q3,30/09/2025,USD,3754.3,1475.0,657.8,2506.4,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-016,REGN,Regeneron Pharmaceuticals,NASDAQ,2025.0,2025Q2,30/06/2025,USD,3675.6,1431.7,634.2,1995.8,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-016,REGN,Regeneron Pharmaceuticals,NASDAQ,2025.0,2025Q1,31/03/2025,USD,3028.7,1339.7,633.0,3090.2,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-017,REG.F,Remegen,Frankfurt Stock Exchange,2025.0,2026Q1,31/03/2026,USD,91.87,29.39,49.73,384.44,,True,GAAP,True,Browser_IR_Fetch,12/05/2026
CMP-018,MRK.F,Merck KGaA,Frankfurt Stock Exchange,2025.0,2025Q4,31/12/2025,USD,5668.49,717.12,1635.44,1600.02,,True,GAAP,True,Browser_IR_Fetch,12/05/2026
CMP-019,TAK,Takeda Pharmaceutical,NYSE,2025.0,2025Q4,31/12/2025,USD,1191698.0,175231.0,282783.0,654937.0,,True,GAAP,False,yfinance_fetch,13/05/2026
